iter	RMSE
1722	1.350959574
1723	1.350895475
1724	1.350829689
1725	1.350791195
1726	1.350720687
1727	1.350649491
1728	1.350583323
1729	1.350511678
1730	1.350449328
1731	1.350383438
1732	1.350310022
1733	1.350273813
1734	1.350203541
1735	1.350165609
1736	1.350124076
1737	1.350060221
1738	1.349998963
1739	1.349928827
1740	1.349888574
1741	1.349816698
1742	1.349773908
1743	1.349710399
1744	1.349658273
1745	1.34962196
1746	1.349586937
1747	1.349520855
1748	1.349451689
1749	1.349379988
1750	1.349316766
1751	1.349273421
1752	1.349232367
1753	1.349194198
1754	1.349154653
1755	1.349085749
1756	1.349048536
1757	1.348979674
1758	1.34894737
1759	1.348889678
1760	1.348822828
1761	1.348774969
1762	1.348705118
1763	1.348637786
1764	1.34857386
1765	1.348510198
1766	1.348445101
1767	1.348383889
1768	1.34834446
1769	1.348273318
1770	1.348203105
1771	1.348168507
1772	1.348098216
1773	1.348041869
1774	1.348004307
1775	1.3479358
1776	1.347901575
1777	1.347827519
1778	1.347756826
1779	1.347687998
1780	1.347621338
1781	1.347578881
1782	1.347537205
1783	1.347470585
1784	1.347433001
1785	1.347398917
1786	1.347347627
1787	1.347283184
1788	1.347213781
1789	1.347172331
1790	1.347104911
1791	1.347035338
1792	1.347020204
1793	1.346953923
1794	1.346884299
1795	1.346847849
1796	1.346810633
1797	1.346801126
1798	1.346732424
1799	1.346673475
1800	1.346611486
1801	1.346571326
1802	1.346507166
1803	1.346467004
1804	1.346424113
1805	1.346358202
1806	1.346286904
1807	1.346231264
1808	1.34617198
1809	1.346106238
1810	1.346041853
1811	1.346001336
1812	1.345944612
1813	1.345898755
1814	1.345831174
1815	1.345759663
1816	1.345697242
1817	1.345664011
1818	1.345628089
1819	1.34556099
1820	1.345499922
1821	1.345459232
1822	1.345418312
1823	1.345382134
1824	1.345320579
1825	1.345254453
1826	1.345191301
1827	1.345162045
1828	1.345102562
1829	1.345037084
1830	1.344973564
1831	1.344943004
1832	1.344903744
1833	1.344862633
1834	1.344801495
1835	1.344738122
1836	1.344669548
1837	1.344606181
1838	1.344549127
1839	1.344510994
1840	1.34444559
1841	1.344403684
1842	1.344343016
1843	1.344280129
1844	1.344253326
1845	1.344213497
1846	1.344180219
1847	1.344148961
1848	1.344093573
1849	1.344054266
1850	1.344020407
1851	1.343951982
1852	1.343910886
1853	1.343857139
1854	1.343821697
1855	1.343761746
1856	1.3437311
1857	1.343666733
1858	1.343626399
1859	1.343594044
1860	1.343551298
1861	1.34350167
1862	1.343448354
1863	1.343407479
1864	1.34337419
1865	1.343306167
1866	1.343272824
1867	1.343238637
1868	1.343201668
1869	1.343142121
1870	1.343071234
1871	1.34300792
1872	1.342943966
1873	1.342911938
1874	1.342884426
1875	1.342837782
1876	1.342776648
1877	1.342744377
1878	1.342705539
1879	1.342643946
1880	1.342613233
1881	1.34255383
1882	1.342522925
1883	1.342467399
1884	1.342401693
1885	1.342331373
1886	1.34227291
1887	1.342207017
1888	1.342143646
1889	1.342108821
1890	1.342083175
1891	1.342021087
1892	1.341986837
1893	1.341928427
1894	1.341892483
1895	1.341860108
1896	1.341807334
1897	1.341749542
1898	1.341690792
1899	1.341660356
1900	1.34162939
1901	1.341571118
1902	1.341503679
1903	1.341440451
1904	1.341411195
1905	1.341351305
1906	1.341319607
1907	1.341257441
1908	1.341225619
1909	1.341191314
1910	1.341133001
1911	1.341078123
1912	1.341021447
1913	1.341012087
1914	1.34094636
1915	1.340892996
1916	1.340863289
1917	1.340805408
1918	1.340740673
1919	1.340694028
1920	1.340659464
1921	1.340627178
1922	1.340587664
1923	1.340537129
1924	1.340509331
1925	1.340471115
1926	1.340410788
1927	1.340373277
1928	1.340308845
1929	1.340271263
1930	1.340237718
1931	1.340197387
1932	1.340161714
1933	1.340132418
1934	1.340070637
1935	1.340036125
1936	1.340006848
1937	1.339956539
1938	1.339925594
1939	1.339873375
1940	1.339816768
1941	1.33978622
1942	1.33975364
1943	1.339722202
1944	1.339689319
1945	1.339635941
1946	1.339584582
1947	1.339537408
1948	1.339482344
1949	1.339449597
1950	1.339394822
1951	1.339357775
1952	1.339297776
1953	1.339257065
1954	1.339225505
1955	1.339158985
1956	1.339112353
1957	1.339086154
1958	1.339022177
1959	1.338962417
1960	1.33891976
1961	1.338878951
1962	1.338845871
1963	1.33879037
1964	1.338751377
1965	1.338693391
1966	1.338656213
1967	1.338622602
1968	1.33858615
1969	1.338553513
1970	1.338521644
1971	1.338472413
1972	1.33844046
1973	1.338383262
1974	1.338331987
1975	1.338279851
1976	1.33824601
1977	1.338230234
1978	1.338174671
1979	1.338116041
1980	1.33806486
1981	1.338009204
1982	1.337969238
1983	1.337939914
1984	1.33789484
1985	1.337849024
1986	1.337813507
1987	1.337755814
1988	1.337716743
1989	1.33766835
1990	1.337609223
1991	1.337569439
1992	1.337523815
1993	1.337496007
1994	1.337464285
1995	1.337438533
1996	1.337382869
1997	1.33734361
1998	1.337291931
1999	1.337256779
2000	1.337224419
2001	1.337190565
2002	1.337181789
2003	1.337148777
2004	1.33711716
2005	1.337089094
2006	1.337061136
2007	1.337030433
2008	1.336976603
2009	1.336952694
2010	1.33691347
2011	1.336886822
2012	1.336832985
2013	1.336800984
2014	1.336771852
2015	1.336747465
2016	1.336711527
2017	1.336678855
2018	1.336630844
2019	1.336595587
2020	1.336551529
2021	1.336541209
2022	1.33649054
2023	1.336439513
2024	1.336411997
2025	1.33637352
2026	1.3363226
2027	1.33626617
2028	1.336231086
2029	1.336179476
2030	1.336153086
2031	1.336143817
2032	1.33611296
2033	1.336060524
2034	1.335998106
2035	1.335959369
2036	1.335929371
2037	1.335874372
2038	1.335843177
2039	1.335808207
2040	1.33575861
2041	1.335702853
2042	1.3356759
2043	1.335626365
2044	1.335577986
2045	1.335529322
2046	1.335479372
2047	1.335433248
2048	1.33538091
2049	1.335319896
2050	1.335290219
2051	1.335259955
2052	1.335238855
2053	1.335184907
2054	1.335155736
2055	1.33510464
2056	1.335054231
2057	1.335046587
2058	1.334994828
2059	1.334938897
2060	1.334884778
2061	1.334822237
2062	1.334810128
2063	1.334763114
2064	1.334721034
2065	1.334690021
2066	1.334637822
2067	1.33461104
2068	1.334594133
2069	1.334562
2070	1.334525374
2071	1.33447602
2072	1.334428409
2073	1.334377422
2074	1.334336697
2075	1.334298074
2076	1.334246367
2077	1.334217183
2078	1.334171463
2079	1.334137341
2080	1.334084322
2081	1.334047145
2082	1.333995505
2083	1.333957545
2084	1.333927972
2085	1.333875301
2086	1.333838025
2087	1.33380476
2088	1.333771161
2089	1.333719562
2090	1.33369393
2091	1.333633331
2092	1.333585702
2093	1.333546976
2094	1.333491927
2095	1.333457005
2096	1.333424266
2097	1.333392153
2098	1.333358027
2099	1.333305734
2100	1.333251557
2101	1.333193655
2102	1.333164641
2103	1.333118689
2104	1.333082495
2105	1.333030834
2106	1.33297313
2107	1.332941436
2108	1.332893124
2109	1.332865016
2110	1.332816721
2111	1.332782847
2112	1.332725356
2113	1.332695119
2114	1.332665207
2115	1.332630967
2116	1.332602513
2117	1.332573376
2118	1.332542603
2119	1.332499563
2120	1.332473425
2121	1.332427596
2122	1.332395906
2123	1.332353071
2124	1.332306951
2125	1.332253422
2126	1.332220918
2127	1.332172463
2128	1.33213821
2129	1.332106321
2130	1.33204795
2131	1.332013922
2132	1.331988523
2133	1.331940144
2134	1.331910388
2135	1.331874996
2136	1.331847409
2137	1.33180297
2138	1.331748891
2139	1.331700115
2140	1.331657038
2141	1.331627764
2142	1.331582561
2143	1.33154514
2144	1.331513899
2145	1.331482264
2146	1.331472367
2147	1.331435492
2148	1.331408619
2149	1.331360903
2150	1.331313231
2151	1.33126597
2152	1.331218293
2153	1.331182743
2154	1.331151135
2155	1.331115956
2156	1.331065568
2157	1.331033242
2158	1.33100177
2159	1.330976523
2160	1.330943247
2161	1.330889238
2162	1.330835687
2163	1.330787635
2164	1.330754262
2165	1.33072393
2166	1.330683974
2167	1.330641673
2168	1.330615876
2169	1.330576496
2170	1.330544679
2171	1.330510022
2172	1.330462408
2173	1.33044113
2174	1.330413399
2175	1.330387158
2176	1.330356659
2177	1.330307729
2178	1.330274641
2179	1.3302326
2180	1.330177145
2181	1.330133792
2182	1.33009231
2183	1.330038358
2184	1.330008043
2185	1.329958054
2186	1.329905051
2187	1.329872657
2188	1.329848467
2189	1.32980446
2190	1.32976606
2191	1.329719436
2192	1.329685816
2193	1.329658882
2194	1.329604525
2195	1.329567521
2196	1.32955715
2197	1.329534341
2198	1.329487124
2199	1.329463922
2200	1.329417757
2201	1.329405803
2202	1.329366116
2203	1.329341681
2204	1.329317388
2205	1.329272288
2206	1.329238566
2207	1.329198003
2208	1.329155154
2209	1.329103164
2210	1.329080684
2211	1.329050183
2212	1.329003263
2213	1.328979746
2214	1.328934886
2215	1.328911725
2216	1.32888065
2217	1.328833261
2218	1.328799394
2219	1.328770582
2220	1.328759257
2221	1.328712062
2222	1.32866671
2223	1.328624092
2224	1.328593506
2225	1.328556449
2226	1.328509168
2227	1.328458708
2228	1.328432366
2229	1.328410941
2230	1.328381
2231	1.328348
2232	1.328293267
2233	1.328264355
2234	1.328233391
2235	1.328186464
2236	1.32815567
2237	1.328126503
2238	1.328111435
2239	1.32809108
2240	1.328047499
2241	1.328003665
2242	1.327950135
2243	1.327899339
2244	1.327864991
2245	1.327818632
2246	1.327783348
2247	1.327760098
2248	1.327714558
2249	1.327678573
2250	1.327633247
2251	1.327592314
2252	1.327566852
2253	1.327515993
2254	1.327472089
2255	1.327449897
2256	1.327441168
2257	1.327404111
2258	1.327361748
2259	1.327325562
2260	1.32730272
2261	1.327257886
2262	1.327228775
2263	1.327185941
2264	1.327160842
2265	1.327126042
2266	1.327105386
2267	1.327097262
2268	1.327046707
2269	1.327020695
2270	1.326988199
2271	1.326939224
2272	1.326927076
2273	1.326884124
2274	1.32683916
2275	1.326814111
2276	1.326773051
2277	1.326721648
2278	1.326672319
2279	1.326650644
2280	1.326600702
2281	1.326563614
2282	1.326536291
2283	1.326512884
2284	1.326470754
2285	1.326440261
2286	1.326396207
2287	1.32635483
2288	1.32631508
2289	1.326292312
2290	1.326252064
2291	1.326202966
